City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Iralaya,15.0,-83.2333,77.09,85,46,5.97,HN,1636808585
Acapulco de Juárez,16.8634,-99.8901,73.22,83,1,8.05,MX,1636808564
Montrose,38.4166,-108.2673,32.36,71,6,1.92,US,1636808392
Amarillo,35.222,-101.8313,42.1,53,5,4.0,US,1636808388
Lavrentiya,65.5833,-171.0,16.03,96,99,3.47,RU,1636808591
Labuhan,-6.8844,112.2051,81.01,81,100,4.34,ID,1636808593
Severo-Kuril'sk,50.6789,156.125,40.37,93,100,11.63,RU,1636808594
Cartagena del Chairá,1.3349,-74.8429,79.79,67,65,0.81,CO,1636808595
Necochea,-38.5473,-58.7368,68.85,50,100,20.11,AR,1636808416
Takoradze,4.8845,-1.7554,84.87,67,57,7.25,GH,1636808598
Rome,43.2128,-75.4557,48.67,86,90,8.05,US,1636808523
Istiaia,38.9558,23.1528,62.65,72,73,4.12,GR,1636808601
Skellefteå,64.7507,20.9528,28.76,64,75,5.75,SE,1636808602
Garça,-22.2106,-49.6561,71.02,45,100,11.12,BR,1636808603
Bambous Virieux,-20.3428,57.7575,81.21,72,6,10.78,MU,1636808605
Yangambi,0.8102,24.4336,78.19,73,99,3.83,CD,1636808606
Ciudad Barrios,13.7667,-88.2667,64.15,87,29,2.46,SV,1636808430
Severomuysk,56.1481,113.4267,0.48,97,71,3.31,RU,1636808609
Palimbang,6.2106,124.1894,79.11,86,100,2.91,PH,1636808610
Maningrida,-12.0667,134.2667,79.25,78,100,11.12,AU,1636808611
Winchester,51.0651,-1.3187,56.77,73,75,4.0,GB,1636808528
Qian’an,44.9932,124.0581,27.75,86,6,8.46,CN,1636808614
Nouadhibou,20.931,-17.0347,70.38,63,0,4.68,MR,1636808615
Wana,32.2989,69.5725,58.98,14,0,3.22,PK,1636808617
La Palma,33.8464,-118.0467,77.94,41,1,0.0,US,1636808618
Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.94,98,100,4.47,RU,1636808605
Verkhnyaya Sinyachikha,57.976,61.6673,24.01,95,100,2.26,RU,1636808621
Mehamn,71.0357,27.8492,35.78,80,99,17.65,NO,1636808589
Bilma,18.6853,12.9164,94.41,10,43,13.04,NE,1636808623
São Filipe,14.8961,-24.4956,75.65,72,42,8.46,CV,1636808625
Vysokogornyy,50.1167,139.15,22.82,91,100,8.93,RU,1636808626
Timmins,48.4669,-81.3331,31.82,93,90,6.91,CA,1636808507
Oranjemund,-28.55,16.4333,69.44,66,5,25.61,NA,1636808629
Sorong,-0.8833,131.25,81.12,81,100,2.62,ID,1636808630
Hong Kong,22.2855,114.1577,73.38,48,8,1.01,HK,1636808604
Bubaque,11.2833,-15.8333,82.42,63,88,8.03,GW,1636808632
Papara,-3.9839,-38.7273,86.72,45,75,7.43,BR,1636808634
Poum,-20.2333,164.0167,78.57,82,7,9.31,NC,1636808635
Mandalgovi,45.7625,106.2708,30.76,30,10,6.58,MN,1636808638
Teguise,29.0605,-13.564,71.82,43,20,13.8,ES,1636808639
Manaus,-3.1019,-60.025,84.69,84,40,5.75,BR,1636808427
Xining,36.6167,101.7667,30.02,56,29,2.66,CN,1636808642
Rovaniemi,66.5,25.7167,24.21,100,90,6.91,FI,1636808643
Abu Dhabi,24.4667,54.3667,81.84,65,0,14.61,AE,1636808401
Villazón,-22.0866,-65.5942,57.69,43,12,4.85,BO,1636808646
Fortuna,40.5982,-124.1573,57.36,76,90,0.0,US,1636808647
Movila,44.55,27.7,57.51,57,35,6.33,RO,1636808651
Matadi,-5.8167,13.45,89.46,59,95,6.17,CD,1636808652
Uvat,59.1433,68.8953,28.62,96,100,6.11,RU,1636808653
Beloha,-25.1667,45.05,87.37,44,10,15.5,MG,1636808655
Kuril'sk,45.2333,147.8833,44.13,71,65,18.9,RU,1636808656
San-Pédro,4.7485,-6.6363,83.89,70,100,8.05,CI,1636808658
La Bélgica,-17.55,-63.2167,80.89,74,90,5.75,BO,1636808659
Cartagena,10.3997,-75.5144,82.02,74,0,2.3,CO,1636808661
Santa Rita do Passa Quatro,-21.7103,-47.4781,71.08,56,100,5.57,BR,1636808455
San Policarpo,12.1791,125.5072,81.0,84,100,6.6,PH,1636808663
Kampot,10.6167,104.1833,77.05,88,100,5.06,KH,1636808665
Honiara,-9.4333,159.95,78.78,88,16,4.07,SB,1636808604
Kisangani,0.5167,25.2,85.93,50,93,2.15,CD,1636808667
Neya,58.2972,43.8681,31.64,74,100,9.91,RU,1636808668
Jiuquan,39.7432,98.5174,33.21,32,56,2.48,CN,1636808670
Margate,51.3813,1.3862,55.26,82,100,4.0,GB,1636808468
Santa Cruz de Barahona,18.2085,-71.1008,76.82,83,20,6.91,DO,1636808673
Arrondissement de Castres,43.5833,2.1667,58.26,91,90,3.44,FR,1636808674
High Rock,26.6208,-78.2833,75.22,69,35,5.59,BS,1636808675
Kontagora,10.3999,5.4695,97.39,21,65,3.09,NG,1636808677
Laguna,38.421,-121.4238,56.05,96,90,1.01,US,1636808678
Tūkrah,32.5341,20.5791,70.79,62,93,8.46,LY,1636808679
Córdoba,-31.4135,-64.1811,84.6,57,20,23.02,AR,1636808647
Camopi,3.1655,-52.3158,85.86,54,6,2.95,GF,1636808682
Kamenka,51.3223,42.7678,40.21,71,100,14.2,RU,1636808683
Veere,51.5483,3.6667,55.99,69,75,7.0,NL,1636808686
Yanam,16.7333,82.2167,81.0,92,100,7.11,IN,1636808687
Boguchany,58.3814,97.4531,19.06,95,100,3.44,RU,1636808688
Lac du Bonnet,50.2536,-96.0612,14.18,98,98,3.65,CA,1636808690
Bolobo,-2.1667,16.2333,74.61,92,100,4.92,CD,1636808691
Puerto Ayacucho,5.6639,-67.6236,75.76,92,100,2.62,VE,1636808695
Tagusao,9.1924,117.8141,80.24,81,90,1.54,PH,1636808696
Teya,60.3778,92.6267,17.06,94,97,5.79,RU,1636808698
Martapura,-3.4167,114.85,78.89,89,20,3.44,ID,1636808699
Candelaria,13.9311,121.4233,78.39,95,30,5.44,PH,1636808700
Ginda,30.6945,78.4932,50.74,51,0,5.12,IN,1636808702
Ambilobe,-13.2,49.05,86.25,51,68,3.4,MG,1636808703
Zduńska Wola,51.5992,18.9397,42.33,47,100,7.74,PL,1636808705
Luanda,-8.8368,13.2343,81.1,73,73,12.84,AO,1636808706
Assiniboia,49.6334,-105.9845,36.46,83,97,15.32,CA,1636808707
Shenzhen,22.5455,114.0683,73.27,58,14,7.74,CN,1636808690
Along,28.1667,94.7667,61.43,71,3,1.23,IN,1636808710
Birjand,32.8663,59.2211,56.44,36,17,10.04,IR,1636808711
Lubumbashi,-11.6609,27.4794,89.06,25,75,2.13,CD,1636808681
Baturité,-4.3286,-38.8847,90.36,45,66,6.98,BR,1636808714
Parakan,-6.4191,106.0081,75.92,93,100,3.58,ID,1636808715
Chapada dos Guimarães,-15.4606,-55.7497,74.86,96,100,4.63,BR,1636808717
Prijepolje,43.3719,19.6406,62.19,36,48,0.16,RS,1636808718
Spišské Podhradie,49.0009,20.7531,53.55,47,67,3.87,SK,1636808719
Freeport,40.6576,-73.5832,58.96,70,1,1.99,US,1636808560
Kalianget,-7.05,113.9333,81.72,79,100,7.65,ID,1636808722
Rio Grande,-32.035,-52.0986,71.71,56,61,16.69,BR,1636808723
Kaabong,3.4836,34.1492,80.89,38,81,17.38,UG,1636808725
Billings Metropolitan Area,45.7833,-108.5007,58.77,33,40,16.11,US,1636808726
Srednekolymsk,67.45,153.6833,5.92,97,100,5.21,RU,1636808727
Slave Lake,55.2834,-114.769,40.8,59,100,18.39,CA,1636808470
Wuwei,37.9281,102.6414,33.91,35,4,0.54,CN,1636808730
Deputatsky,69.3,139.9,-5.93,100,100,3.2,RU,1636808731
Luena,-11.7833,19.9167,78.78,45,89,3.2,AO,1636808733
Beibei,29.8256,106.4339,56.37,62,100,3.29,CN,1636808717
Seddon,-37.8068,144.8916,52.79,78,0,1.01,AU,1636808735
Bataiporã,-22.2953,-53.2711,75.38,46,56,10.8,BR,1636808602
Casa Grande,32.8795,-111.7573,64.58,35,1,4.61,US,1636808738
Rūdbār,30.15,62.6,67.32,19,0,4.52,AF,1636808740
Corner Brook,48.9667,-57.9484,39.22,87,100,14.29,CA,1636808742
Mnogovershinnyy,53.9353,139.9242,21.79,88,100,9.91,RU,1636808743
Opuwo,-18.0607,13.84,86.85,27,100,8.46,NA,1636808483
Kafr Abīl,32.4175,35.6694,80.55,18,100,13.8,JO,1636808746
Bac Lieu,9.285,105.7244,79.25,87,91,12.5,VN,1636808747
Port Hedland,-20.3167,118.5667,73.45,64,8,5.75,AU,1636808748
Sinnamary,5.3833,-52.95,83.82,70,53,5.61,GF,1636808474
Belmonte,-15.8631,-38.8828,72.1,92,100,16.51,BR,1636808751
Sikasso,10.9167,-7.0,93.38,13,7,6.58,ML,1636808752
Fuerte Olimpo,-21.0415,-57.8738,89.44,41,69,10.18,PY,1636808754
Bourail,-21.5667,165.4833,78.26,76,39,1.25,NC,1636808755
Khovd,48.0056,91.6419,30.42,41,30,4.65,MN,1636808756
Esim,4.8699,-2.2405,86.65,62,33,5.68,GH,1636808758
Nueva Armenia,15.7956,-86.4985,75.15,92,100,2.84,HN,1636808759
Savonlinna,61.8699,28.88,34.25,93,75,3.44,FI,1636808761
Devils Lake,48.1128,-98.8651,23.11,92,90,11.99,US,1636808762
Paita,-5.0892,-81.1144,66.76,82,39,13.13,PE,1636808763
Tromsø,69.6496,18.957,34.45,93,90,5.99,NO,1636808765
Robertsport,6.7533,-11.3686,82.94,72,100,5.48,LR,1636808766
Dali,25.7,100.1833,52.54,85,18,5.03,CN,1636808768
Kochki,54.3358,80.4806,25.25,89,19,8.95,RU,1636808769
Tomar,39.602,-8.4092,71.89,59,94,1.7,PT,1636808770
Antofagasta,-23.65,-70.4,61.88,67,100,9.13,CL,1636808772
Kurchatov,51.6601,35.6521,41.41,72,18,6.6,RU,1636808773
Ayorou,14.7308,0.9174,96.66,6,100,7.65,NE,1636808774
Bianzhuang,34.8486,118.0447,49.35,54,0,4.29,CN,1636808776
Dedovichi,57.5517,29.9502,38.34,86,100,3.67,RU,1636808777
Broome,42.2506,-75.833,49.86,66,90,5.99,US,1636808779
Jardim,-21.4803,-56.1381,85.48,42,22,11.5,BR,1636808780
Marawi,7.9986,124.2928,67.64,98,100,2.04,PH,1636808782
Wad Medani,14.4012,33.5199,97.29,10,0,5.12,SD,1636808783
Aranos,-24.1333,19.1167,94.73,13,100,3.83,NA,1636808784
Malakal,9.5334,31.6605,99.32,21,35,5.57,SS,1636808787
Kavieng,-2.5744,150.7967,82.2,78,66,11.81,PG,1636808788
Guangyuan,32.442,105.823,50.11,72,4,2.15,CN,1636808790
Zheleznodorozhnyy,55.7503,38.0042,40.35,82,100,8.99,RU,1636808791
Tarko-Sale,64.9225,77.785,11.41,96,95,8.28,RU,1636808792
Toora-Khem,52.4675,96.11,20.16,94,100,2.35,RU,1636808794
Tomball,30.0972,-95.6161,48.38,82,1,0.0,US,1636808670
Touros,-5.1989,-35.4608,88.7,58,27,15.28,BR,1636808576
Riyadh,24.6877,46.7219,78.94,20,6,8.21,SA,1636808797
Lengshuitan,26.4111,111.5956,58.24,66,96,1.1,CN,1636808713
Erenhot,43.6475,111.9767,28.15,66,6,9.6,CN,1636808720
Sobolevo,54.4299,31.8996,39.85,71,100,4.29,RU,1636808801
Golden,39.7555,-105.2211,56.89,50,40,27.63,US,1636808695
Contamana,-7.3333,-75.0167,79.2,78,87,2.13,PE,1636808803
Sexsmith,55.35,-118.786,38.57,59,89,18.77,CA,1636808805
Iskateley,67.6803,53.1512,18.03,84,100,9.51,RU,1636808806
San Cristobal,7.7669,-72.225,71.78,56,97,3.78,VE,1636808807
Chapecó,-27.0964,-52.6183,77.14,48,0,3.22,BR,1636808620
Ulladulla,-35.35,150.4667,55.76,83,100,4.92,AU,1636808810
Pontes e Lacerda,-15.2261,-59.3353,81.77,69,96,4.21,BR,1636808639
Albury,-36.0833,146.9167,50.11,84,100,3.0,AU,1636808711
Stokmarknes,68.5646,14.9108,41.49,93,75,10.36,NO,1636808814
Mezen',65.8522,44.24,23.04,92,48,5.48,RU,1636808815
Quatre Cocos,-20.2078,57.7625,81.09,71,8,10.51,MU,1636808817
Gemeente Wageningen,51.9667,5.6667,56.95,91,75,5.75,NL,1636808818
Biak,-0.9131,122.8766,78.1,84,100,4.61,ID,1636808819
Liverpool,53.4106,-2.9779,57.78,82,40,5.01,GB,1636808821
Douglas,41.3,-96.167,28.51,79,90,1.99,US,1636808593
Saint-Augustin,51.226,-58.6502,31.86,94,100,14.9,CA,1636808823
Itarema,-2.9248,-39.9167,88.39,55,100,10.71,BR,1636808825
Gijang,35.2442,129.2139,53.4,60,100,7.05,KR,1636808826
Zambezi,-13.5432,23.1047,85.35,36,95,5.3,ZM,1636808827
Bulancak,40.9372,38.2291,57.02,72,0,5.75,TR,1636808829
Buraidah,26.326,43.975,80.87,16,15,8.14,SA,1636808830
Mahon,39.8885,4.2658,66.76,72,40,18.41,ES,1636808832
Huambo,-12.7761,15.7392,80.76,38,52,5.86,AO,1636808833
Maniitsoq,65.4167,-52.9,15.06,60,0,8.72,GL,1636808834
Oddur,4.1213,43.8894,91.49,32,86,11.9,SO,1636808836
Ibrā’,22.6906,58.5334,83.86,12,0,9.64,OM,1636808837
Adré,13.4667,22.2,92.98,14,4,5.99,TD,1636808839
Victor Harbor,-35.5667,138.6167,55.72,70,62,14.72,AU,1636808840
Daru,-9.0763,143.2092,80.89,81,100,3.36,PG,1636808841
Chenghai,23.4632,116.768,68.02,68,19,12.84,CN,1636808843
Santa Cruz de la Sierra,-17.8,-63.1667,80.06,74,90,5.75,BO,1636808846
Itacaré,-14.2775,-38.9967,76.73,92,93,10.58,BR,1636808848
Saint-Pierre,-21.3393,55.4781,82.04,74,90,8.05,RE,1636808849
Sørland,67.667,12.6934,40.86,69,100,17.52,NO,1636808851
Susanino,58.1461,41.5872,32.16,89,100,7.34,RU,1636808852
Elizabeth City,36.2946,-76.2511,57.25,95,1,1.99,US,1636808855
Christchurch,-43.5333,172.6333,55.99,89,90,4.0,NZ,1636808574
Sechura,-5.5569,-80.8222,65.25,76,84,11.5,PE,1636808857
Monroe,43.1501,-77.6831,44.96,91,90,5.75,US,1636808714
Curitibanos,-27.2828,-50.5844,64.67,51,0,5.32,BR,1636808860
Itoman,26.1247,127.6694,66.97,90,75,14.97,JP,1636808861
Sorgun,39.8101,35.186,55.02,26,49,1.19,TR,1636808862
Kieta,-6.2167,155.6333,79.75,78,94,0.43,PG,1636808865
Port Hardy,50.6996,-127.4199,44.98,86,100,6.91,CA,1636808866
Sisimiut,66.9395,-53.6735,10.78,79,44,10.87,GL,1636808868
